order_date,region,category,product,customer_name,quantity,unit_price,revenue,cost,profit
2023-01-08,South,Furniture,Bookshelf,Customer_077,9,635.44,5718.96,4555.59,1163.37
2023-01-08,East,Groceries,Rice,Customer_016,9,226.87,2041.83,1375.81,666.02
2023-01-08,East,Furniture,Table,Customer_033,1,358.26,358.26,280.59,77.67
2023-01-08,North,Toys,Board Game,Customer_003,3,534.96,1604.88,860.0,744.88
2023-01-09,West,Groceries,Rice,Customer_074,8,307.69,2461.52,1319.87,1141.65
2023-01-09,West,Furniture,Desk,Customer_017,6,71.86,431.16,306.25,124.91
2023-01-09,South,Furniture,Table,Customer_086,5,686.01,3430.05,2135.89,1294.16
2023-01-09,West,Groceries,Snacks,Customer_092,5,481.2,2406.0,1377.35,1028.65
2023-01-09,West,Electronics,Smartphone,Customer_093,1,149.3,149.3,75.28,74.02
2023-01-09,North,Clothing,T-Shirt,Customer_013,8,527.82,4222.56,3373.86,848.7
2023-01-09,West,Toys,Action Figure,Customer_004,7,,1069.53,728.66,340.87
2023-01-09,North,Groceries,Snacks,Customer_071,7,40.03,280.21,155.68,124.53
2023-01-10,North,Electronics,Tablet,Customer_078,4,657.13,2628.52,1632.92,995.6
2023-01-10,South,Clothing,Jacket,Customer_028,10,418.44,4184.4,2564.38,1620.02
2023-01-10,North,Clothing,Jeans,Customer_026,7,798.05,5586.35,4429.31,1157.04
2023-01-10,South,Toys,Puzzle,Customer_081,3,383.74,1151.22,631.76,519.46
2023-01-10,North,Clothing,Hat,Customer_032,1,180.89,180.89,111.39,69.5
2023-01-10,East,Clothing,Hat,Customer_013,11,158.52,1743.72,1133.35,610.37
2023-01-10,East,Groceries,Rice,Customer_067,11,480.78,5288.58,2964.26,2324.32
2023-01-10,North,Furniture,Desk,Customer_086,4,233.47,933.88,568.75,365.13
2023-01-11,North,Groceries,Olive Oil,Customer_025,10,83.34,833.4,606.08,227.32
2023-01-11,North,Groceries,Snacks,Customer_020,6,300.04,1800.24,952.34,847.9
2023-01-11,West,Electronics,Monitor,Customer_046,6,680.84,4085.04,2476.35,1608.69
2023-01-11,West,Furniture,Desk,Customer_038,8,666.56,5332.48,4045.2,1287.28
2023-01-11,South,Electronics,Tablet,Customer_098,3,761.36,2284.08,1568.47,715.61
2023-01-11,East,Electronics,Tablet,Customer_063,4,,2473.28,1915.66,557.62
2023-01-12,West,Groceries,Coffee,Customer_046,8,438.92,3511.36,2020.82,1490.54
2023-01-12,South,Clothing,Jacket,Customer_117,11,115.54,1270.94,745.03,525.91
2023-01-12,West,Furniture,Sofa,Customer_028,5,225.52,1127.6,627.44,500.16
2023-01-12,North,Toys,Board Game,Customer_051,5,329.23,1646.15,1037.37,608.78
2023-01-13,East,Electronics,Laptop,Customer_063,11,679.95,7479.45,3981.3,3498.15
2023-01-13,East,Groceries,Snacks,Customer_008,8,558.61,4468.88,3439.24,1029.64
2023-01-13,West,Toys,Doll,Customer_085,8,313.32,2506.56,1888.77,617.79
2023-01-13,South,Clothing,T-Shirt,Customer_041,9,176.33,1586.97,983.69,603.28
2023-01-14,North,Electronics,Headphones,Customer_101,8,551.12,4408.96,3186.79,1222.17
2023-01-14,South,Clothing,Hat,Customer_031,11,743.25,8175.75,4778.29,3397.46
2023-01-14,East,Clothing,Jeans,Customer_097,11,384.05,4224.55,2280.31,1944.24
2023-01-14,East,Furniture,Office Chair,Customer_066,6,251.27,1507.62,1148.66,358.96
2023-01-14,East,Groceries,Coffee,Customer_101,11,732.5,8057.5,4976.48,3081.02
2023-01-14,South,Furniture,Sofa,Customer_116,5,644.15,3220.75,2144.22,1076.53
2023-01-14,South,Clothing,Hat,Customer_059,9,389.22,3502.98,2503.09,999.89
2023-01-14,South,Clothing,Jeans,Customer_069,6,61.01,366.06,263.24,102.82
2023-01-15,North,Toys,Action Figure,Customer_046,5,498.62,2493.1,1941.12,551.98
2023-01-15,West,Clothing,Jeans,Customer_003,6,325.3,1951.8,1507.13,444.67
2023-01-15,East,Electronics,Laptop,Customer_062,6,467.09,2802.54,1926.3,876.24
2023-01-15,East,Furniture,Office Chair,Customer_087,9,417.91,3761.19,2450.33,1310.86
2023-01-15,North,Furniture,Table,Customer_113,8,419.89,3359.12,2321.43,1037.69
2023-01-16,West,Toys,Action Figure,Customer_066,7,372.24,2605.68,2076.99,528.69
2023-01-16,West,Furniture,Desk,Customer_068,1,552.94,552.94,294.2,258.74
2023-01-16,North,Clothing,T-Shirt,Customer_044,2,686.57,1373.14,904.28,468.86
2023-01-16,East,Clothing,Sneakers,Customer_105,11,678.08,7458.88,4479.99,2978.89
2023-01-16,South,Furniture,Sofa,Customer_089,2,455.45,910.9,653.29,257.61
2023-01-16,South,Toys,Doll,Customer_105,4,439.82,1759.28,947.76,811.52
2023-01-16,North,Groceries,Olive Oil,Customer_021,2,266.36,532.72,310.81,221.91
2023-01-16,South,Electronics,Tablet,Customer_093,9,318.38,2865.42,1762.82,1102.6
2023-01-16,East,Toys,Doll,Customer_042,6,211.22,1267.32,841.34,425.98
2023-01-16,West,Toys,Doll,Customer_025,2,126.14,252.28,191.43,60.85
2023-01-16,East,Toys,Puzzle,Customer_060,6,477.13,2862.78,1985.78,877.0
2023-01-17,West,Clothing,Hat,Customer_060,10,503.4,5034.0,2779.47,2254.53
2023-01-17,North,Furniture,Sofa,Customer_016,9,566.57,5099.13,3187.52,1911.61
2023-01-17,South,Furniture,Bookshelf,Customer_064,5,55.64,278.2,212.2,66.0
2023-01-17,South,Clothing,Hat,Customer_008,8,319.01,2552.08,1773.83,778.25
2023-01-17,West,Furniture,Desk,Customer_023,6,133.98,803.88,502.35,301.53
2023-01-17,South,Clothing,Jacket,Customer_107,6,26.81,160.86,86.35,74.51
2023-01-17,East,Groceries,Olive Oil,Customer_077,6,586.84,3521.04,2165.92,1355.12
2023-01-18,South,Clothing,T-Shirt,Customer_070,2,167.38,334.76,182.58,152.18
2023-01-18,South,Clothing,T-Shirt,Customer_085,8,395.56,3164.48,1870.35,1294.13
2023-01-18,East,Groceries,Cereal,Customer_118,5,317.94,1589.7,1020.64,569.06
2023-01-18,North,Clothing,Sneakers,Customer_002,6,764.11,4584.66,2658.56,1926.1
2023-01-18,South,Electronics,Laptop,Customer_107,10,705.92,7059.2,3786.9,3272.3
2023-01-18,West,Clothing,Jeans,Customer_010,8,410.47,3283.76,2350.2,933.56
2023-01-18,South,Groceries,Rice,Customer_020,7,27.06,189.42,104.14,85.28
2023-01-19,West,Furniture,Bookshelf,Customer_107,3,77.62,232.86,184.23,48.63
2023-01-19,North,Groceries,Olive Oil,Customer_085,5,663.85,3319.25,1944.08,1375.17
2023-01-19,East,Furniture,Office Chair,Customer_003,7,83.45,584.15,341.02,243.13
2023-01-19,East,Clothing,Sneakers,Customer_119,8,167.04,1336.32,1007.69,328.63
2023-01-19,South,Toys,Building Blocks,Customer_055,1,350.05,350.05,184.33,165.72
2023-01-19,East,Toys,Board Game,Customer_094,1,167.75,167.75,128.12,39.63
2023-01-19,South,Groceries,Rice,Customer_032,7,267.63,1873.41,1414.42,458.99
2023-01-19,West,Clothing,T-Shirt,Customer_008,5,724.11,3620.55,1974.43,1646.12
2023-01-20,South,Electronics,Monitor,Customer_022,7,80.29,562.03,318.79,243.24
2023-01-20,North,Groceries,Coffee,Customer_115,4,492.43,1969.72,1298.64,671.08
2023-01-20,West,Electronics,Laptop,Customer_075,1,485.14,485.14,290.23,194.91
2023-01-20,West,Electronics,Headphones,Customer_070,1,759.54,759.54,496.64,262.9
2023-01-20,South,Electronics,Laptop,Customer_038,6,34.19,205.14,131.79,73.35
2023-01-20,South,Electronics,Monitor,Customer_111,8,215.95,1727.6,1035.01,692.59
2023-01-21,West,Furniture,Bookshelf,Customer_075,2,704.06,1408.12,921.29,486.83
2023-01-21,East,Clothing,Hat,Customer_017,10,47.75,477.5,350.37,127.13
2023-01-21,North,Electronics,Tablet,Customer_006,7,239.07,1673.49,871.25,802.24
2023-01-21,North,Toys,Doll,Customer_114,11,52.43,576.73,356.27,220.46
2023-01-21,East,Groceries,Coffee,Customer_059,7,506.64,3546.48,2218.18,1328.3
2023-01-22,South,Groceries,Coffee,Customer_066,8,703.61,5628.88,4225.73,1403.15
2023-01-22,West,Furniture,Office Chair,Customer_016,10,707.78,7077.8,4256.57,2821.23
2023-01-22,East,Groceries,Olive Oil,Customer_085,3,642.55,1927.65,1366.73,560.92
2023-01-22,North,Clothing,Jacket,Customer_038,10,213.14,2131.4,1584.68,546.72
2023-01-22,West,Groceries,Snacks,Customer_013,1,,25.43,15.78,9.65
2023-01-22,East,Clothing,Sneakers,Customer_019,2,573.3,1146.6,699.37,447.23
2023-01-23,South,Toys,Building Blocks,Customer_010,4,684.85,2739.4,1507.89,1231.51
2023-01-23,North,Toys,Board Game,Customer_092,8,331.11,2648.88,1747.19,901.69
2023-01-23,North,Groceries,Olive Oil,Customer_034,10,275.97,2759.7,1926.6,833.1
2023-01-23,East,Electronics,Headphones,Customer_047,5,424.0,2120.0,1600.47,519.53
2023-01-23,South,Furniture,Table,Customer_114,5,266.7,1333.5,831.03,502.47
2023-01-23,North,Electronics,Smartphone,Customer_081,7,409.76,2868.32,1728.91,1139.41
2023-01-23,East,Furniture,Desk,Customer_033,7,223.66,1565.62,791.96,773.66
2023-01-24,East,Toys,Doll,Customer_100,8,341.97,2735.76,1379.89,1355.87
2023-01-24,North,Furniture,Desk,Customer_061,3,363.71,1091.13,857.85,233.28
2023-01-24,South,Electronics,Laptop,Customer_064,7,429.31,3005.17,1807.74,1197.43
2023-01-24,South,Toys,Board Game,Customer_033,10,369.72,3697.2,2507.0,1190.2
2023-01-24,East,Clothing,Sneakers,Customer_017,8,117.38,939.04,581.21,357.83
2023-01-24,South,Furniture,Table,Customer_110,10,573.27,5732.7,4122.23,1610.47
2023-01-24,South,Groceries,Coffee,Customer_118,3,148.25,444.75,273.94,170.81
2023-01-25,East,Furniture,Office Chair,Customer_032,2,330.82,661.64,472.5,189.14
2023-01-25,North,Clothing,Jacket,Customer_042,3,135.87,407.61,225.96,181.65
2023-01-25,East,Groceries,Rice,Customer_004,6,701.87,4211.22,2305.58,1905.64
2023-01-25,North,Furniture,Bookshelf,Customer_073,6,342.4,2054.4,1557.46,496.94
2023-01-25,South,Electronics,Headphones,Customer_068,1,735.74,735.74,577.49,158.25
2023-01-25,North,Clothing,T-Shirt,Customer_052,8,668.16,5345.28,2861.82,2483.46
2023-01-25,East,Furniture,Office Chair,Customer_035,11,474.05,5214.55,2686.51,2528.04
2023-01-26,West,Clothing,T-Shirt,Customer_103,1,29.87,29.87,21.76,8.11
2023-01-26,North,Furniture,Desk,Customer_041,9,504.77,4542.93,3545.53,997.4
2023-01-26,East,Electronics,Tablet,Customer_074,10,387.61,3876.1,2462.05,1414.05
2023-01-26,West,Toys,Building Blocks,Customer_026,2,742.41,1484.82,879.48,605.34
2023-01-26,North,Electronics,Monitor,Customer_015,1,346.51,346.51,238.45,108.06
2023-01-27,East,Clothing,Sneakers,Customer_038,9,600.49,5404.41,2884.72,2519.69
2023-01-27,North,Groceries,Olive Oil,Customer_064,2,692.48,1384.96,877.56,507.4
2023-01-27,North,Electronics,Smartphone,Customer_071,3,150.81,452.43,249.77,202.66
2023-01-27,East,Clothing,Jeans,Customer_060,3,250.79,752.37,439.76,312.61
2023-01-27,East,Groceries,Rice,Customer_039,1,457.52,457.52,347.9,109.62
2023-01-27,South,Furniture,Sofa,Customer_106,5,29.93,149.65,82.47,67.18
2023-01-27,North,Electronics,Laptop,Customer_107,4,524.24,2096.96,1323.22,773.74
2023-01-27,West,Toys,Board Game,Customer_018,11,87.9,966.9,743.48,223.42
2023-01-27,North,Electronics,Laptop,Customer_033,10,772.59,7725.9,5084.33,2641.57
2023-01-27,East,Toys,Doll,Customer_017,11,687.17,7558.87,4373.07,3185.8
2023-01-27,East,Clothing,Sneakers,Customer_083,2,770.57,1541.14,913.9,627.24
2023-01-27,South,Clothing,Jacket,Customer_029,5,421.71,2108.55,1431.25,677.3
2023-01-27,West,Clothing,Jeans,Customer_094,8,591.85,4734.8,3370.4,1364.4
2023-01-27,East,Furniture,Sofa,Customer_017,3,405.19,1215.57,683.22,532.35
2023-01-28,West,Groceries,Olive Oil,Customer_077,2,,1334.22,674.81,659.41
2023-01-28,West,Toys,Puzzle,Customer_056,3,246.47,739.41,390.34,349.07
2023-01-28,South,Electronics,Monitor,Customer_070,5,469.45,2347.25,1274.27,1072.98
2023-01-28,West,Furniture,Bookshelf,Customer_049,10,484.96,4849.6,3589.3,1260.3
2023-01-28,West,Groceries,Olive Oil,Customer_067,6,66.72,400.32,285.84,114.48
2023-01-28,East,Furniture,Sofa,Customer_004,10,475.17,4751.7,2417.17,2334.53
2023-01-29,North,Toys,Action Figure,Customer_031,11,53.81,591.91,441.06,150.85
2023-01-29,East,Furniture,Office Chair,Customer_053,2,79.95,159.9,107.91,51.99
2023-01-29,South,Toys,Action Figure,Customer_025,6,576.91,3461.46,1759.93,1701.53
2023-01-29,South,Furniture,Office Chair,Customer_073,3,273.59,820.77,429.56,391.21
2023-01-29,West,Furniture,Office Chair,Customer_084,4,200.8,803.2,568.03,235.17
2023-01-29,South,Electronics,Monitor,Customer_117,9,466.7,4200.3,2442.5,1757.8
2023-01-29,East,Furniture,Bookshelf,Customer_013,10,330.34,3303.4,1805.24,1498.16
2023-01-29,West,Toys,Board Game,Customer_011,4,576.64,2306.56,1358.88,947.68
2023-01-29,South,Clothing,Jacket,Customer_101,10,392.82,3928.2,3031.15,897.05
2023-01-29,East,Electronics,Tablet,Customer_046,2,661.84,1323.68,752.23,571.45
2023-01-29,West,Clothing,T-Shirt,Customer_034,8,588.97,4711.76,3639.21,1072.55
2023-01-29,West,Electronics,Monitor,Customer_100,10,799.85,7998.5,4303.95,3694.55
2023-01-30,South,Clothing,Jeans,Customer_020,2,697.97,1395.94,1029.38,366.56
2023-01-30,North,Electronics,Headphones,Customer_096,1,,136.1,104.41,31.69
2023-01-30,North,Furniture,Table,Customer_107,9,253.57,2282.13,1230.18,1051.95
2023-01-30,North,Furniture,Bookshelf,Customer_050,4,371.28,1485.12,798.72,686.4
2023-01-30,North,Electronics,Headphones,Customer_118,6,546.0,3276.0,2054.71,1221.29
2023-01-30,East,Groceries,Snacks,Customer_089,3,474.34,1423.02,1006.83,416.19
2023-01-30,South,Groceries,Cereal,Customer_110,11,349.56,3845.16,2494.71,1350.45
2023-01-30,South,Groceries,Cereal,Customer_032,3,362.85,1088.55,733.44,355.11
2023-01-30,East,Toys,Puzzle,Customer_034,11,305.15,3356.65,2472.53,884.12
2023-01-30,North,Electronics,Smartphone,Customer_105,11,572.14,6293.54,3425.47,2868.07
2023-01-31,South,Toys,Puzzle,Customer_053,5,400.01,2000.05,1016.7,983.35
2023-01-31,South,Furniture,Table,Customer_041,10,573.56,5735.6,4465.01,1270.59
2023-01-31,West,Groceries,Rice,Customer_027,4,380.45,1521.8,902.07,619.73
2023-01-31,South,Furniture,Bookshelf,Customer_102,7,87.69,613.83,366.29,247.54
2023-01-31,South,Furniture,Office Chair,Customer_010,7,580.57,4063.99,2290.52,1773.47
2023-01-31,South,Furniture,Table,Customer_073,11,525.31,5778.41,4371.12,1407.29
2023-01-31,West,Groceries,Olive Oil,Customer_059,10,400.03,4000.3,2002.76,1997.54
2023-01-31,East,Groceries,Olive Oil,Customer_030,2,650.88,1301.76,704.95,596.81
2023-01-31,West,Toys,Doll,Customer_061,3,271.69,815.07,578.39,236.68
2023-02-01,South,Electronics,Monitor,Customer_105,9,186.75,1680.75,1287.86,392.89
2023-02-01,East,Groceries,Cereal,Customer_003,9,111.47,1003.23,624.99,378.24
2023-02-01,South,Clothing,Sneakers,Customer_016,9,687.08,6183.72,4158.06,2025.66
2023-02-01,East,Groceries,Rice,Customer_062,8,577.94,4623.52,2723.6,1899.92
2023-02-01,East,Clothing,T-Shirt,Customer_103,7,423.49,2964.43,2085.5,878.93
2023-02-01,West,Clothing,Sneakers,Customer_023,2,562.69,1125.38,804.55,320.83
2023-02-01,West,Groceries,Cereal,Customer_112,5,742.07,3710.35,2805.71,904.64
2023-02-01,North,Clothing,T-Shirt,Customer_054,4,138.97,555.88,283.01,272.87
2023-02-02,North,Clothing,Jeans,Customer_047,4,540.63,2162.52,1554.36,608.16
2023-02-02,South,Groceries,Coffee,Customer_019,8,31.93,255.44,203.57,51.87
2023-02-02,North,Electronics,Monitor,Customer_040,10,444.63,4446.3,2604.53,1841.77
2023-02-02,North,Toys,Building Blocks,Customer_086,4,322.35,1289.4,731.32,558.08
2023-02-02,North,Groceries,Snacks,Customer_005,2,407.97,815.94,610.11,205.83
2023-02-02,East,Groceries,Snacks,Customer_057,1,639.18,639.18,340.71,298.47
2023-02-02,East,Groceries,Rice,Customer_091,4,166.71,666.84,362.81,304.03
2023-02-02,South,Electronics,Laptop,Customer_082,3,764.89,2294.67,1698.3,596.37
2023-02-02,East,Groceries,Snacks,Customer_034,2,633.0,1266.0,750.44,515.56
2023-02-03,West,Electronics,Headphones,Customer_016,8,431.72,3453.76,2090.25,1363.51
2023-02-03,North,Furniture,Office Chair,Customer_041,9,378.56,3407.04,2095.73,1311.31
2023-02-03,East,Furniture,Table,Customer_001,2,485.25,970.5,710.12,260.38
2023-02-03,East,Groceries,Coffee,Customer_062,4,315.19,1260.76,737.85,522.91
2023-02-03,North,Electronics,Monitor,Customer_102,10,577.56,5775.6,3072.47,2703.13
2023-02-03,South,Electronics,Monitor,Customer_004,11,745.93,8205.23,6261.1,1944.13
2023-02-04,East,Groceries,Snacks,Customer_118,3,444.13,1332.39,979.41,352.98
2023-02-04,West,Furniture,Office Chair,Customer_086,10,421.31,4213.1,2785.29,1427.81
2023-02-04,East,Toys,Building Blocks,Customer_094,5,342.5,1712.5,1135.56,576.94
2023-02-04,North,Groceries,Coffee,Customer_085,9,199.56,1796.04,1378.16,417.88
2023-02-04,East,Electronics,Monitor,Customer_093,5,427.9,2139.5,1397.93,741.57
2023-02-04,East,Toys,Action Figure,Customer_039,9,289.37,2604.33,1897.97,706.36
2023-02-04,South,Electronics,Tablet,Customer_104,4,252.81,1011.24,663.39,347.85
2023-02-04,East,Furniture,Office Chair,Customer_090,4,658.99,2635.96,1869.64,766.32
2023-02-04,East,Furniture,Table,Customer_100,6,21.0,126.0,79.92,46.08
2023-02-05,South,Clothing,T-Shirt,Customer_007,3,222.97,668.91,386.67,282.24
2023-02-05,West,Furniture,Desk,Customer_105,8,741.2,5929.6,4474.87,1454.73
2023-02-05,North,Toys,Puzzle,Customer_037,3,315.35,946.05,603.62,342.43
2023-02-05,North,Clothing,Jeans,Customer_084,5,169.26,846.3,552.34,293.96
2023-02-05,South,Furniture,Table,Customer_031,10,681.23,6812.3,5048.1,1764.2
2023-02-05,South,Clothing,T-Shirt,Customer_118,9,629.72,5667.48,3599.59,2067.89
2023-02-06,North,Toys,Action Figure,Customer_009,3,777.98,2333.94,1300.14,1033.8
2023-02-06,East,Clothing,Jeans,Customer_031,9,751.77,6765.93,4130.97,2634.96
2023-02-06,South,Toys,Puzzle,Customer_053,3,784.36,2353.08,1229.73,1123.35
2023-02-06,North,Furniture,Table,Customer_070,5,226.49,1132.45,838.48,293.97
2023-02-06,East,Groceries,Coffee,Customer_013,7,604.86,4234.02,2248.0,1986.02
2023-02-06,North,Clothing,Jacket,Customer_057,1,88.71,88.71,50.73,37.98
2023-02-06,North,Groceries,Cereal,Customer_003,11,69.76,767.36,540.71,226.65
2023-02-06,West,Toys,Doll,Customer_047,7,756.13,5292.91,3910.0,1382.91
2023-02-06,West,Clothing,Jacket,Customer_102,7,262.42,1836.94,1183.08,653.86
2023-02-07,East,Electronics,Laptop,Customer_090,8,623.8,4990.4,3769.62,1220.78
2023-02-07,West,Groceries,Olive Oil,Customer_101,1,440.43,440.43,318.36,122.07
2023-02-07,North,Clothing,Jacket,Customer_042,4,642.61,2570.44,1354.86,1215.58
2023-02-07,East,Clothing,Sneakers,Customer_041,5,608.46,3042.3,2077.55,964.75
2023-02-07,East,Clothing,Jacket,Customer_020,8,477.19,3817.52,3025.94,791.58
2023-02-07,South,Clothing,Jeans,Customer_013,10,137.74,1377.4,801.94,575.46
2023-02-07,West,Toys,Doll,Customer_112,10,175.64,1756.4,927.83,828.57
2023-02-07,North,Electronics,Smartphone,Customer_063,9,673.28,6059.52,3889.39,2170.13
2023-02-07,North,Electronics,Laptop,Customer_113,10,179.09,1790.9,1205.86,585.04
2023-02-07,North,Groceries,Rice,Customer_092,9,260.63,2345.67,1517.42,828.25
2023-02-08,South,Electronics,Tablet,Customer_030,6,384.09,2304.54,1587.89,716.65
2023-02-08,East,Electronics,Laptop,Customer_086,10,430.59,4305.9,2454.21,1851.69
2023-02-08,North,Groceries,Rice,Customer_014,6,231.88,1391.28,752.8,638.48
2023-02-08,North,Toys,Board Game,Customer_030,2,354.45,708.9,359.66,349.24
2023-02-08,North,Furniture,Sofa,Customer_007,6,513.84,3083.04,1999.16,1083.88
2023-02-08,East,Electronics,Laptop,Customer_041,4,600.68,2402.72,1609.66,793.06
2023-02-08,South,Groceries,Olive Oil,Customer_058,7,450.0,3150.0,1716.82,1433.18
2023-02-08,North,Electronics,Tablet,Customer_079,9,146.28,1316.52,1052.49,264.03
2023-02-08,East,Electronics,Monitor,Customer_111,4,15.93,63.72,36.61,27.11
2023-02-08,South,Clothing,Jacket,Customer_088,8,565.76,4526.08,2829.9,1696.18
2023-02-08,West,Clothing,Jacket,Customer_108,7,509.1,3563.7,2716.25,847.45
2023-02-08,North,Groceries,Snacks,Customer_019,10,256.0,2560.0,1749.88,810.12
2023-02-08,East,Toys,Action Figure,Customer_026,3,208.68,626.04,427.87,198.17
2023-02-09,North,Clothing,Hat,Customer_033,6,419.4,2516.4,1913.59,602.81
2023-02-09,West,Clothing,Jacket,Customer_016,9,690.0,6210.0,3385.81,2824.19
2023-02-09,North,Electronics,Tablet,Customer_096,7,651.42,4559.94,2741.43,1818.51
2023-02-10,North,Electronics,Tablet,Customer_063,6,474.29,2845.74,1960.72,885.02
2023-02-10,South,Groceries,Snacks,Customer_086,9,276.51,2488.59,1453.49,1035.1
2023-02-10,East,Electronics,Headphones,Customer_110,5,681.17,3405.85,1752.12,1653.73
